1108,1019,Gabriel Aguirre Gonzalez,27/01/2021,35,217.66,Banorte,839298482
1109,1020,Irack Francisco Alanis Irigoyen,27/01/2021,29,867.37,Banorte,489289491
1110,1021,Omar Dávila Rosales,27/01/2021,19,376.61,Banorte,3828942894
1111,1022,Edgar Orlando Gamez Guerrero,27/01/2021,6,780.00,Banorte,49829832983
1112,1023,Daniel Alejandro Hernandez Jacobo,27/01/2021,46,641.58,Banorte,3893891893
1113,1024,Jesus Antonio Martinez Rodriguez,27/01/2021,39,576.66,Banorte,38929833
1114,1025,Alfonso Mata De Anda,27/01/2021,176,961.36,Banorte,389298338
1115,1026,Rene Hernandez Miramontes,27/01/2021,15,043.44,Banorte,8932893892
1116,1027,Ana Alejandra Moreira Cardenas,27/01/2021,20,447.63,Banorte,389289332
1117,1028,Omar Diego Gallegos Maldonado,27/01/2021,9,484.80,Banorte,3892893892
