1088,1019,Gabriel Aguirre Gonzalez,13/01/2021,21,914.16,Banorte,839298482
1089,1020,Irack Francisco Alanis Irigoyen,13/01/2021,18,502.38,Banorte,489289491
1090,1021,Omar Dávila Rosales,13/01/2021,11,812.62,Banorte,3828942894
1091,1022,Edgar Orlando Gamez Guerrero,13/01/2021,3,780.00,Banorte,49829832983
1092,1023,Daniel Alejandro Hernandez Jacobo,13/01/2021,29,198.98,Banorte,3893891893
1093,1024,Jesus Antonio Martinez Rodriguez,13/01/2021,24,725.70,Banorte,38929833
1094,1025,Alfonso Mata De Anda,13/01/2021,162,950.36,Banorte,389298338
1095,1026,Rene Hernandez Miramontes,13/01/2021,9,049.44,Banorte,8932893892
1096,1027,Ana Alejandra Moreira Cardenas,13/01/2021,12,505.59,Banorte,389289332
1097,1028,Omar Diego Gallegos Maldonado,13/01/2021,5,504.80,Banorte,3892893892
