1048,1019,Gabriel Aguirre Gonzalez,16/12/2020,21,924.16,Banorte,839298482
1049,1020,Irack Francisco Alanis Irigoyen,16/12/2020,18,512.38,Banorte,489289491
1050,1021,Omar Dávila Rosales,16/12/2020,11,772.62,Banorte,3828942894
1051,1022,Edgar Orlando Gamez Guerrero,16/12/2020,3,790.00,Banorte,49829832983
1052,1023,Daniel Alejandro Hernandez Jacobo,16/12/2020,29,208.98,Banorte,3893891893
1053,1024,Jesus Antonio Martinez Rodriguez,16/12/2020,24,735.70,Banorte,38929833
1054,1025,Alfonso Mata De Anda,16/12/2020,162,985.36,Banorte,389298338
1055,1026,Rene Hernandez Miramontes,16/12/2020,9,059.44,Banorte,8932893892
1056,1027,Ana Alejandra Moreira Cardenas,16/12/2020,12,505.59,Banorte,389289332
1057,1028,Omar Diego Gallegos Maldonado,16/12/2020,5,514.80,Banorte,3892893892
