1118,1019,Gabriel Aguirre Gonzalez,03/02/2021,21,934.16,Banorte,839298482
1119,1020,Irack Francisco Alanis Irigoyen,03/02/2021,18,522.38,Banorte,489289491
1120,1021,Omar Dávila Rosales,03/02/2021,11,832.62,Banorte,3828942894
1121,1022,Edgar Orlando Gamez Guerrero,03/02/2021,3,800.00,Banorte,49829832983
1122,1023,Daniel Alejandro Hernandez Jacobo,03/02/2021,29,218.98,Banorte,3893891893
1123,1024,Jesus Antonio Martinez Rodriguez,03/02/2021,24,745.70,Banorte,38929833
1124,1025,Alfonso Mata De Anda,03/02/2021,162,995.36,Banorte,389298338
1125,1026,Rene Hernandez Miramontes,03/02/2021,9,069.44,Banorte,8932893892
1126,1027,Ana Alejandra Moreira Cardenas,03/02/2021,12,515.59,Banorte,389289332
1127,1028,Omar Diego Gallegos Maldonado,03/02/2021,5,524.80,Banorte,3892893892
