1068,1019,Gabriel Aguirre Gonzalez,30/12/2020,-32,650.19,Banorte,839298482
1069,1020,Irack Francisco Alanis Irigoyen,30/12/2020,-26,957.58,Banorte,489289491
1070,1021,Omar Dávila Rosales,30/12/2020,-18,443.34,Banorte,3828942894
1071,1022,Edgar Orlando Gamez Guerrero,30/12/2020,-8,220.00,Banorte,49829832983
1072,1023,Daniel Alejandro Hernandez Jacobo,30/12/2020,-40,571.42,Banorte,3893891893
1073,1024,Jesus Antonio Martinez Rodriguez,30/12/2020,-34,878.16,Banorte,38929833
1074,1025,Alfonso Mata De Anda,30/12/2020,107,031.36,Banorte,389298338
1075,1026,Rene Hernandez Miramontes,30/12/2020,-14,926.56,Banorte,8932893892
1076,1027,Ana Alejandra Moreira Cardenas,30/12/2020,-19,312.57,Banorte,389289332
1077,1028,Omar Diego Gallegos Maldonado,30/12/2020,-10,415.20,Banorte,3892893892
