1038,1019,Gabriel Aguirre Gonzalez,09/12/2020,24,011.48,Banorte,839298482
1039,1020,Irack Francisco Alanis Irigoyen,09/12/2020,20,425.23,Banorte,489289491
1040,1021,Omar Dávila Rosales,09/12/2020,13,393.38,Banorte,3828942894
1041,1022,Edgar Orlando Gamez Guerrero,09/12/2020,4,950.00,Banorte,49829832983
1042,1023,Daniel Alejandro Hernandez Jacobo,09/12/2020,31,668.81,Banorte,3893891893
1043,1024,Jesus Antonio Martinez Rodriguez,09/12/2020,26,966.78,Banorte,38929833
1044,1025,Alfonso Mata De Anda,09/12/2020,165,134.10,Banorte,389298338
1045,1026,Rene Hernandez Miramontes,09/12/2020,10,488.90,Banorte,8932893892
1046,1027,Ana Alejandra Moreira Cardenas,09/12/2020,14,111.27,Banorte,389289332
1047,1028,Omar Diego Gallegos Maldonado,09/12/2020,6,763.00,Banorte,3892893892
